"age","fx"
10,0
11,0
12,0
13,0
14,0
15,0
16,0.08
17,0.21
18,0.31
19,0.38
20,0.43
21,0.45
22,0.47
23,0.48
24,0.49
25,0.5
26,0.5
27,0.5
28,0.49
29,0.48
30,0.46
31,0.45
32,0.43
33,0.42
34,0.41
35,0.4
36,0.38
37,0.36
38,0.32
39,0.28
40,0.24
41,0.2
42,0.16
43,0.12
44,0.09
45,0.07
46,0.05
47,0.03
48,0.02
49,0.01
50,0
51,0
52,0
53,0
54,0
55,0
